ID,Name,Platform,Platform_Group,Publisher,Genre,Year_of_Release,NA_players,EU_players,JP_players,Other_players,Num_Nodes,Global_players,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
149,Final Fantasy XII,PS2,,Square Enix,Role-Playing,2006,1.88,0,2.33,1.74,,5.95,92,64,7.6,972,Square Enix,T
150,The Last of Us,PS3,,Sony Computer Entertainment Europe,Action,2013,2.41,2.18,0.28,0.99,,5.87,95,98,9.1,8003,Naughty Dog,M
151,LittleBigPlanet,PS3,,Sony Computer Entertainment,Platform,2008,2.8,1.98,0.17,0.87,,5.82,95,85,6.8,5311,"SCE/WWS, Media Molecule",E
152,Resident Evil 2,PS,,Virgin Interactive,Action,1998,1.88,1.47,2.02,0.45,,5.82,89,13,9.2,364,Capcom,M
153,Dragon Quest IX: Sentinels of the Starry Skies,DS,,Nintendo,Role-Playing,2009,0.63,0.67,4.35,0.15,,5.78,87,65,8.8,197,Level 5,E10+
154,Tekken 2,PS,,Sony Computer Entertainment,Fighting,1996,2.26,1.89,1.36,0.23,,5.74,89,8,8.9,102,Namco,T
155,Destiny,PS4,,Activision,Shooter,2014,2.49,2.07,0.16,0.92,,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T
156,LEGO Star Wars: The Complete Saga,Wii,,LucasArts,Action,2007,3.57,1.55,0,0.51,,5.64,80,17,8.9,62,Traveller's Tales,E10+
157,Cooking Mama,DS,,505 Games,Simulation,2006,3.07,1.91,0.07,0.57,,5.63,67,35,7.2,21,Taito Corporation,E
158,Tetris,NES,,Nintendo,Puzzle,1988,2.97,0.69,1.81,0.11,,5.58,,,,,,
159,Super Smash Bros.,N64,,Nintendo,Fighting,1999,2.95,0.6,1.97,0.04,,5.55,,,,,,
160,Assassin's Creed II,PS3,,Ubisoft,Action,2009,2.54,1.93,0.21,0.86,,5.55,91,70,8.6,1202,Ubisoft Montreal,M
161,Assassin's Creed,X360,,Ubisoft,Adventure,2007,3.28,1.64,0.07,0.56,,5.54,81,77,7.7,1074,Ubisoft Montreal,M
162,Forza Motorsport 3,X360,,Microsoft Game Studios,Racing,2009,2.99,1.9,0.1,0.5,,5.49,92,90,8,516,Turn 10,E
163,Super Mario Advance,GBA,,Nintendo,Platform,2001,3.14,1.24,0.91,0.2,,5.49,84,19,7.8,41,Nintendo,E
164,Monster Hunter Freedom Unite,PSP,,Capcom,Role-Playing,2008,0.47,0.55,4.13,0.34,,5.48,81,48,8.7,124,Capcom,T
165,Batman: Arkham City,PS3,,Warner Bros. Interactive Entertainment,Action,2011,2.71,1.85,0.11,0.81,,5.48,96,42,8.6,2162,Rocksteady Studios,T
166,Grand Theft Auto V,XOne,,Take-Two Interactive,Action,2014,2.81,2.19,0,0.47,,5.48,97,14,7.9,764,Rockstar North,M
167,Mario Kart: Super Circuit,GBA,,Nintendo,Racing,2001,2.62,1.64,0.99,0.23,,5.47,93,24,8.3,108,Intelligent Systems,E
168,Super Mario World,GBA,,Nintendo,Platform,2001,3.21,1.11,0.95,0.2,,5.46,,,,,,
169,Pokemon Stadium,N64,,Nintendo,Strategy,1999,3.18,1.24,0.94,0.09,,5.45,,,,,,
170,Crash Bandicoot: The Wrath of Cortex,PS2,,Universal Interactive,Platform,2001,2.07,2.29,0.24,0.82,,5.42,66,22,7.1,156,Traveller's Tales,E
171,Call of Duty: World at War,PS3,,Activision,Shooter,2008,2.73,1.83,0,0.83,,5.39,85,45,7.6,409,Treyarch,M
172,Uncharted 4: A Thief's End,PS4,,Sony Computer Entertainment,Shooter,2016,1.85,2.5,0.19,0.85,,5.38,93,113,7.9,7064,Naughty Dog,T
173,Dr. Mario,GB,,Nintendo,Puzzle,1989,2.18,0.96,2,0.2,,5.34,,,,,,
174,Final Fantasy XIII,PS3,,Square Enix,Role-Playing,2009,1.74,1.21,1.87,0.51,,5.33,83,83,7.3,2483,Square Enix,T
175,Pokemon Pinball,GB,,Nintendo,Misc,1999,3.02,1.12,1.01,0.16,,5.31,,,,,,
176,Final Fantasy IX,PS,,SquareSoft,Role-Playing,2000,1.62,0.77,2.78,0.14,,5.3,94,22,8.9,779,SquareSoft,T
177,Assassin's Creed III,X360,,Ubisoft,Action,2012,3.13,1.69,0.03,0.44,,5.29,84,61,6.7,1196,Ubisoft,M
178,Final Fantasy X-2,PS2,,Electronic Arts,Role-Playing,2003,1.92,1.08,2.11,0.17,,5.29,85,45,6.6,400,SquareSoft,T
179,Donkey Kong 64,N64,,Nintendo,Platform,1999,3.33,0.79,1.09,0.06,,5.27,,,,,,
180,Call of Duty: Advanced Warfare,XOne,,Activision,Shooter,2014,3.22,1.55,0.01,0.48,,5.27,81,53,5.4,898,Sledgehammer Games,M
181,Minecraft,PS3,,Sony Computer Entertainment,Misc,2014,2.03,2.37,0,0.87,,5.26,,,,,,
182,Assassin's Creed II,X360,,Ubisoft,Action,2009,3.11,1.55,0.08,0.51,,5.26,90,82,8.8,1305,Ubisoft Montreal,M
183,Tomb Raider II,PS,,Eidos Interactive,Action,1997,2.3,2.46,0.2,0.28,,5.24,85,13,,,Core Design Ltd.,T
184,Madden NFL 2004,PS2,,Electronic Arts,Sports,N/A,4.26,0.26,0.01,0.71,,5.23,94,29,8.5,140,EA Tiburon,E
185,Tomodachi Life,3DS,,Nintendo,Simulation,2013,0.97,2.11,1.9,0.24,,5.23,,,,,,
186,New Super Mario Bros. U,WiiU,,Nintendo,Platform,2012,2.3,1.34,1.27,0.32,,5.22,84,70,8.1,733,Nintendo,E
187,Dragon Quest VIII: Journey of the Cursed King,PS2,,Square Enix,Role-Playing,2004,0.65,0.75,3.61,0.2,,5.21,89,63,8.8,245,Level 5,T
188,Super Mario Bros. 3,GBA,,Nintendo,Platform,2003,2.93,1.25,0.83,0.2,,5.2,,,,,,
189,Professor Layton and the Curious Village,DS,,Nintendo,Puzzle,2007,1.21,2.43,1.03,0.52,,5.19,85,72,8.6,147,Level 5,E
190,Super Mario Land 3: Wario Land,GB,,Nintendo,Platform,1994,2.49,0.98,1.57,0.15,,5.19,,,,,,
191,FIFA Soccer 13,X360,,Electronic Arts,Action,2012,1.09,3.47,0.03,0.57,,5.16,90,48,6.1,403,Electronic Arts,E
192,Donkey Kong Country 2: Diddy's Kong Quest,SNES,,Nintendo,Platform,1995,2.1,0.74,2.2,0.11,,5.15,,,,,,
193,Diablo III,PC,,Activision,Role-Playing,2012,2.44,2.16,0,0.54,,5.14,88,86,4,9629,Blizzard Entertainment,M
194,Medal of Honor: Rising Sun,PS2,,Electronic Arts,Shooter,2003,1.98,2.23,0.13,0.8,,5.13,68,30,7.6,100,EA LA,T
195,Kirby's Dream Land,GB,,Nintendo,Platform,1992,2.71,0.61,1.7,0.11,,5.13,,,,,,
196,Microsoft Flight Simulator,PC,,Microsoft Game Studios,Simulation,1996,3.22,1.69,0,0.2,,5.12,,,,,,
197,Guitar Hero II,PS2,,RedOctane,Misc,2006,3.81,0.63,0,0.68,,5.12,92,69,8.5,112,Harmonix Music Systems,T
198,Fable III,X360,,Microsoft Game Studios,Role-Playing,2010,3.59,1.08,0.05,0.38,,5.1,80,88,6.5,604,Lionhead Studios,M
199,Mario & Sonic at the Olympic Games,DS,,Sega,Sports,2008,1.63,2.45,0.44,0.57,,5.09,,,,,,
200,Resident Evil 5,PS3,,Capcom,Action,2009,1.96,1.41,1.08,0.64,,5.09,84,76,7.5,667,Capcom,M
201,The Legend of Zelda: Phantom Hourglass,DS,,Nintendo,Action,2007,1.85,1.8,0.95,0.48,,5.08,90,57,8,416,Nintendo,E
202,Super Mario Bros.,GB,,Nintendo,Platform,1999,3.4,1.3,0.15,0.22,,5.07,,,,,,
203,FIFA Soccer 11,PS3,,Electronic Arts,Sports,2010,0.61,3.28,0.06,1.12,,5.07,89,51,8,233,EA Sports,E
204,Resident Evil,PS,,Virgin Interactive,Action,1996,2.05,1.16,1.11,0.73,,5.05,91,8,9,266,Capcom,M
205,Grand Theft Auto: Vice City Stories,PSP,,Take-Two Interactive,Action,2006,1.7,1.99,0.16,1.18,,5.03,86,50,8,150,Rockstar Leeds,M
206,Tony Hawk's Pro Skater,PS,,Activision,Sports,1999,3.42,1.38,0.02,0.2,,5.02,92,18,9.2,69,Neversoft Entertainment,T
207,Warzone 2100,PS,,Eidos Interactive,Strategy,1999,2.79,1.89,0,0.33,,5.01,,,,,,
208,Spyro the Dragon,PS,,Sony Computer Entertainment,Platform,1998,3.36,1.36,0.07,0.21,,5,,,,,,
209,Guitar Hero III: Legends of Rock,PS2,,Activision,Misc,2007,3.49,0.01,0.01,1.48,,4.98,82,24,8.2,46,"Neversoft Entertainment, BudCat",T
210,Link's Crossbow Training,Wii,,Nintendo,Shooter,2007,3.05,1.17,0.29,0.46,,4.98,68,34,7.1,47,Nintendo,T
211,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,,Nintendo,Role-Playing,2007,1.83,1.19,1.54,0.37,,4.93,,,,,,
212,Fallout 3,X360,,Bethesda Softworks,Role-Playing,2008,3.4,0.99,0.09,0.45,,4.93,93,84,8.5,1655,Bethesda Game Studios,M
213,Uncharted: Drake's Fortune,PS3,,Sony Computer Entertainment,Action,2007,2.31,1.72,0.12,0.77,,4.92,88,66,8.1,2306,"Naughty Dog, SCE/WWS",T
214,Madden NFL 06,PS2,,Electronic Arts,Sports,2005,3.98,0.26,0.01,0.66,,4.91,88,29,8,121,EA Sports,E
